Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
uuid/v1,Y,Y,N,N,Y,,uuid,1372702.000334888,3.6749865450208925e-8,7.284902329537201e-7,7.678395687157703e-9,1.0540149119124156,88,3.91754881997842e-9,1.3505526106084598e-15
uuid/v1,Y,Y,N,N,Y,,hex,662304.8196239287,8.28087745045432e-8,0.0000015098787905058914,1.6830265015963e-8,1.1146765635620293,93,8.586869906103571e-9,6.8572931349442844e-15
uuid/v1,Y,Y,N,Y,Y,,hex,836166.3379721771,2.133526277290266e-8,0.0000011959342951130309,4.2458847387626175e-9,0.35502658934630915,97,2.1662677238584782e-9,4.551934375888061e-16
uuid/v1,Y,Y,N,N,Y,,buffer,814986.3321731573,5.6993918983642965e-8,0.0000012270144424796728,1.1841032925999492e-8,0.9650279993501913,89,6.041343329591578e-9,3.2483068011140577e-15
uuid/v1,Y,Y,N,Y,Y,,buffer,840704.625424535,4.502288575755251e-8,0.0000011894784086563396,9.053731202587768e-9,0.7611513699365975,95,4.619250613565188e-9,2.027060241937625e-15
uuid/v4,Y,N,Y,N,Y,,uuid,339814.47621700517,9.547734948475587e-8,0.000002942782223796143,1.940505827389099e-8,0.659411971330273,93,9.900539935658669e-9,9.11592426463421e-15
uuid/v4,Y,N,Y,N,Y,,hex,364036.2924086819,1.7122530235987405e-7,0.000002746978861320122,3.598026741651683e-8,1.3098123150181689,87,1.835727929414124e-8,2.931810416823029e-14
uuid/v4,Y,N,Y,Y,Y,,hex,438360.0926206148,7.787990404499479e-8,0.0000022812295572386073,1.582850890304045e-8,0.6938586628783038,93,8.075769848490026e-9,6.065279454057595e-15
uuid/v4,Y,N,Y,N,Y,,buffer,457314.612628368,1.1691399867694768e-7,0.000002186678431840619,2.376189713689123e-8,1.086666278447254,93,1.2123416906577159e-8,1.3668883086633322e-14
uuid/v4,Y,N,Y,Y,Y,,buffer,467539.46109293203,1.495585889806562e-7,0.000002138856894907597,3.039666633177658e-8,1.4211640995780495,93,1.5508503230498256e-8,2.2367771537884853e-14
fast-uuid,Y,Y,Y,N,Y,,uuid,904605.4308587289,6.236262869743215e-8,0.0000011054543405191747,1.2956433825336765e-8,1.1720460402961372,89,6.6104254210901866e-9,3.889097458053787e-15
uuid-random,Y,N,Y,N,Y,512,uuid,1649471.9165427622,1.4630826566180942e-8,6.0625463820928e-7,3.0061056330549962e-9,0.4958486819885218,91,1.5337273638035695e-9,2.1406108600966603e-16
uuid-random,Y,N,Y,N,Y,512,hex,2012858.8404322935,3.057689027757216e-8,4.968058265751184e-7,6.214524605811285e-9,1.250896079189126,93,3.170675819291472e-9,9.34946219046687e-16
uuid-random,Y,N,Y,N,Y,512,buffer,2579327.8320060126,2.1804611415188347e-8,3.876979062495802e-7,4.581891454236176e-9,1.181820015114187,87,2.3376997215490693e-9,4.75441078967362e-16
sodium-uuid,Y,N,Y,N,Y,,hex,828307.9077407115,6.408416265212519e-8,0.0000012072805180957345,1.3095222193231236e-8,1.0846876096275095,92,6.68123581287308e-9,4.106779902824036e-15
sodium-uuid,Y,N,Y,Y,Y,,hex,897908.3240472228,2.8394760271316237e-8,0.0000011136994426030156,5.6801350460590744e-9,0.5100240539568799,96,2.8980280847240176e-9,8.06262410865519e-16
sodium-uuid,Y,N,Y,N,Y,,buffer,973999.3119519306,2.7628282489848234e-8,0.000001026694770446976,5.555819869016012e-9,0.5411364729750461,95,2.8346019739877612e-9,7.633219933388546e-16
sodium-uuid,Y,N,Y,Y,Y,,buffer,1021474.1953462708,2.549111774687724e-8,9.789772512667428e-7,5.180879318646647e-9,0.529213453320072,93,2.6433057748197176e-9,6.497970839851598e-16
sodium-native,Y,N,Y,N,Y,,hex,783896.520533452,3.504865014250592e-8,0.000001275678579769032,7.1233764040039135e-9,0.5583989977548762,93,3.6343757163285274e-9,1.2284078768117802e-15
